"cohort","celltype","pathway","direction","n_genes_injected"
"DS_cohort1","B_cells","HALLMARK_APOPTOSIS","irAE-Yes",148
"DS_cohort1","B_cells","HALLMARK_IL2_STAT5_SIGNALING","irAE-No",186
"DS_cohort1","Monocytes","HALLMARK_COMPLEMENT","irAE-Yes",178
"DS_cohort1","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","irAE-No",194
"DS_cohort1","NK_cells","HALLMARK_MTORC1_SIGNALING","irAE-No",193
"DS_cohort1","NK_cells","HALLMARK_TNFA_SIGNALING_VIA_NFKB","irAE-Yes",190
"DS_cohort1","T_cells","HALLMARK_INTERFERON_GAMMA_RESPONSE","irAE-Yes",187
"DS_cohort1","T_cells","HALLMARK_TGF_BETA_SIGNALING","irAE-No",52
"DS_cohort2","B_cells","HALLMARK_APOPTOSIS","irAE-Yes",146
"DS_cohort2","B_cells","HALLMARK_IL2_STAT5_SIGNALING","irAE-No",189
"DS_cohort2","Monocytes","HALLMARK_COMPLEMENT","irAE-Yes",177
"DS_cohort2","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","irAE-No",199
"DS_cohort2","NK_cells","HALLMARK_MTORC1_SIGNALING","irAE-No",192
"DS_cohort2","NK_cells","HALLMARK_TNFA_SIGNALING_VIA_NFKB","irAE-Yes",187
"DS_cohort2","T_cells","HALLMARK_INTERFERON_GAMMA_RESPONSE","irAE-Yes",188
"DS_cohort2","T_cells","HALLMARK_TGF_BETA_SIGNALING","irAE-No",52
"DS_cohort3","B_cells","HALLMARK_APOPTOSIS","irAE-Yes",147
"DS_cohort3","B_cells","HALLMARK_IL2_STAT5_SIGNALING","irAE-No",187
"DS_cohort3","Monocytes","HALLMARK_COMPLEMENT","irAE-Yes",179
"DS_cohort3","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","irAE-No",198
"DS_cohort3","NK_cells","HALLMARK_MTORC1_SIGNALING","irAE-No",188
"DS_cohort3","NK_cells","HALLMARK_TNFA_SIGNALING_VIA_NFKB","irAE-Yes",189
"DS_cohort3","T_cells","HALLMARK_INTERFERON_GAMMA_RESPONSE","irAE-Yes",190
"DS_cohort3","T_cells","HALLMARK_TGF_BETA_SIGNALING","irAE-No",51
