"cohort","celltype","pathway","direction","n_genes_injected"
"RS_cohort1","Dendritic_cells","HALLMARK_INTERFERON_ALPHA_RESPONSE","Severe",94
"RS_cohort1","Dendritic_cells","HALLMARK_TGF_BETA_SIGNALING","Non-severe",51
"RS_cohort1","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Non-severe",196
"RS_cohort1","Monocytes","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Severe",189
"RS_cohort1","NK_cells","HALLMARK_APOPTOSIS","Non-severe",148
"RS_cohort1","NK_cells","HALLMARK_INFLAMMATORY_RESPONSE","Severe",170
"RS_cohort1","T_cells","HALLMARK_IL2_STAT5_SIGNALING","Non-severe",188
"RS_cohort1","T_cells","HALLMARK_IL6_JAK_STAT3_SIGNALING","Severe",77
"RS_cohort2","Dendritic_cells","HALLMARK_INTERFERON_ALPHA_RESPONSE","Severe",92
"RS_cohort2","Dendritic_cells","HALLMARK_TGF_BETA_SIGNALING","Non-severe",52
"RS_cohort2","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Non-severe",199
"RS_cohort2","Monocytes","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Severe",188
"RS_cohort2","NK_cells","HALLMARK_APOPTOSIS","Non-severe",147
"RS_cohort2","NK_cells","HALLMARK_INFLAMMATORY_RESPONSE","Severe",169
"RS_cohort2","T_cells","HALLMARK_IL2_STAT5_SIGNALING","Non-severe",189
"RS_cohort2","T_cells","HALLMARK_IL6_JAK_STAT3_SIGNALING","Severe",76
"RS_cohort3","Dendritic_cells","HALLMARK_INTERFERON_ALPHA_RESPONSE","Severe",94
"RS_cohort3","Dendritic_cells","HALLMARK_TGF_BETA_SIGNALING","Non-severe",52
"RS_cohort3","Monocytes","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Non-severe",198
"RS_cohort3","Monocytes","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Severe",188
"RS_cohort3","NK_cells","HALLMARK_APOPTOSIS","Non-severe",146
"RS_cohort3","NK_cells","HALLMARK_INFLAMMATORY_RESPONSE","Severe",170
"RS_cohort3","T_cells","HALLMARK_IL2_STAT5_SIGNALING","Non-severe",188
"RS_cohort3","T_cells","HALLMARK_IL6_JAK_STAT3_SIGNALING","Severe",77
